ID,REVENUE,MOU,RECCHRGE,DIRECTAS,OVERAGE,ROAM,CHANGEM,CHANGER,DROPVCE,BLCKVCE,UNANSVCE,CUSTCARE,THREEWAY,MOUREC,OUTCALLS,INCALLS,PEAKVCE,OPEAKVCE,DROPBLK,CALLFWDV,CALLWAIT,CHURN,MONTHS,UNIQSUBS,ACTVSUBS,CSA,PHONES,MODELS,EQPDAYS,CUSTOMER,AGE1,AGE2,CHILDREN,CREDITA,CREDITAA,CREDITB,CREDITC,CREDITDE,CREDITGY,CREDITZ,PRIZMRUR,PRIZMUB,PRIZMTWN,REFURB,WEBCAP,TRUCK,RV,OCCPROF,OCCCLER,OCCCRFT,OCCSTUD,OCCHMKR,OCCRET,OCCSELF,OWNRENT,MARRYUN,MARRYYES,MARRYNO,MAILORD,MAILRES,MAILFLAG,TRAVEL,PCOWN,CREDITCD,RETCALLS,RETACCPT,NEWCELLY,NEWCELLN,REFER,INCMISS,INCOME,MCYCLE,CREDITAD,SETPRCM,SETPRC,RETCALL
1,18,0.75,15,0,0,0,1.3,0,0,0,1.3,0,0,0,0,0,0.67,0.33,0,0,0,1,45,1,1,OMADES515,2,2,1249,1001208,58,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,4,0,0,0,30,0
2,50,330,50,0,0,0,-1.8,0,2.3,5.7,35,0,0,6.4,0,0,60,43,8,0,0,0,35,1,1,MINMIN612,1,1,1077,1004561,52,52,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,5,1,0,1,0,0
3,40,345,40,0,0,0,-123,0,0,4.3,55,0,0,121,6.7,3.3,143,72,4.3,0,0.67,0,13,2,2,OMAOMA402,2,2,216,1079093,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,150,0
4,39,80,37,0.5,0,0,-80,-43,1,0,0,0,0,2.4,2,0.67,33,7,1,0,0,1,17,3,2,NYCSUF516,1,1,513,1048327,38,32,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,4,0,0,1,0,0
5,39,193,45,0,0,0,3.3,0,3,1,28,0,0.33,48,0.33,0,72,33,4,0,0.67,0,11,1,1,DENGLD303,1,1,322,1078549,68,64,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,4,0,0,1,0,0
6,49,464,52,0,0,0,125,-1.4,0,1,12,0.67,0,139,34,33,74,39,1,0,1.3,0,26,3,3,SANSAN210,1,1,771,1026076,52,52,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,9,0,0,1,0,0
7,87,930,45,0.5,146,0.29,-443,-52,0.67,6.7,46,1.7,0,237,11,0,112,82,7.3,0,3,1,13,1,1,INHFTW219,1,1,391,1076746,32,34,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,1,0,0
8,35,82,30,0.5,0,0,-82,-1.3,0.33,0.67,4,2.3,0,1.3,8.3,0.67,17,13,1,0,0,0,11,1,1,MIANDA305,2,2,278,1057057,68,74,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,6,0,0,0,10,0
9,99,591,50,0.74,152,0,-467,-49,8.3,2,19,0,0,267,71,47,237,51,10,0,3,1,38,1,1,NEVSDG619,3,2,524,1098182,36,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,30,0
10,51,359,50,0.74,0,0,-122,2.2,0.67,2,21,0,0,44,16,1.7,118,4.7,2.7,0,0,1,23,1,1,ATLATL678,1,1,670,1038642,38,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,6,0,0,1,0,0
11,35,211,40,0.5,8.8,0,-211,-4.6,5.3,8.7,17,0,0,54,5.3,1.7,28,22,14,0,0,1,12,1,1,FLNCLR813,1,1,338,1074911,66,66,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,6,0,0,1,0,0
12,60,350,33,0.25,74,0,-78,-25,5.3,3.7,17,0.33,0,115,13,9.3,89,41,9,0,0.33,0,9,1,1,DETROS810,1,1,260,1084323,58,56,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,9,0,0,1,0,0
13,22,234,30,0,0,0,-67,-22,2.7,1.7,14,4,0,38,13,4.7,57,31,4.3,0,0,1,11,1,1,SANAUS512,3,2,275,1068478,52,44,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,6,0,0,0,150,0
14,46,1036,41,0.5,44,0.8,32,-12,7.7,44,30,0,0,55,15,1,59,115,51,0,1.7,1,7,1,1,NCRFAY910,1,1,201,1083055,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
15,50,114,60,0,0,0.32,65,-9,2,1,2.3,0,0,12,2.7,4.3,29,4,3,0,0.33,0,26,2,2,NMXELP915,2,2,25,1019904,44,36,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,7,0,0,0,30,0
16,17,21,42,0,0,0,-8.8,-17,1,0,0.33,3,0,0,4.7,0,9.3,6.7,1,0,0,1,14,2,1,OHIBER440,1,1,123,1097637,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1
17,81,330,45,0,104,3.7,12,-26,2.7,2.3,48,0.67,0,24,14,7.3,82,38,5,0,0.67,0,26,3,2,FLNNPR813,1,1,765,1021740,34,32,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,6,0,1,1,0,0
